OID_,POINTID,GRID_CODE,latitude,longitude
3228,3228,100,41.661664209999998,-91.547736110000002
3227,3227,96,41.661682679999998,-91.548833729999998
2963,2963,96,41.663254930000001,-91.544393880000001
3362,3362,95,41.660841110000000,-91.547760749999995
3361,3361,93,41.660859580000000,-91.548858359999997
2964,2964,92,41.663236410000003,-91.543296240000004
3229,3229,88,41.661645729999996,-91.546638490000007
4538,4538,88,41.653873609999998,-91.574322249999994
4407,4407,87,41.654696710000003,-91.574297950000002
3098,3098,87,41.662413319999999,-91.543320929999993
4274,4274,87,41.655519820000002,-91.574273649999995
4793,4793,86,41.652354709999997,-91.582053160000001
4662,4662,86,41.653177820000003,-91.582028960000002
4794,4794,86,41.652336550000001,-91.580955689999996
5666,5666,86,41.646520260000003,-91.577833060000003
5667,5667,86,41.646502060000003,-91.576735690000007
4925,4925,85,41.651513440000002,-91.580979900000003
5424,5424,85,41.648239160000003,-91.582174170000002
4532,4532,85,41.653982769999999,-91.580907249999996
5545,5545,85,41.647397900000001,-91.581100980000002
5299,5299,85,41.649098559999999,-91.584344810000005
5661,5661,85,41.646611090000000,-91.583319950000003
5664,5664,85,41.646556619999998,-91.580027810000004
5662,5662,85,41.646592939999998,-91.582222569999999
5663,5663,85,41.646574790000003,-91.581125189999995
4926,4926,85,41.651495279999999,-91.579882440000006
5665,5665,84,41.646538440000000,-91.578930439999993
4533,4533,84,41.653964600000002,-91.579809749999995
5301,5301,84,41.649062270000002,-91.582149970000003
3094,3094,84,41.662487310000003,-91.547711469999996
4530,4530,84,41.654019079999998,-91.583102260000004
5300,5300,84,41.649080419999997,-91.583247389999997
5425,5425,84,41.648221010000000,-91.581076760000002
2962,2962,84,41.663273429999997,-91.545491530000007
4401,4401,84,41.654805879999998,-91.580883029999995
4400,4400,84,41.654824040000001,-91.581980549999997
5174,5174,84,41.649921669999998,-91.584320640000001
5053,5053,84,41.650653990000002,-91.578809230000005
3096,3096,84,41.662450329999999,-91.545516199999994
4402,4402,84,41.654787710000001,-91.579785520000001
4398,4398,84,41.654860319999997,-91.584175579999993
4399,4399,83,41.654842180000003,-91.583078069999999
4659,4659,83,41.653232230000000,-91.585321429999993
4528,4528,83,41.654055339999999,-91.585297269999998
4269,4269,83,41.655610820000000,-91.579761289999993
4266,4266,83,41.655665290000002,-91.583053879999994
4131,4131,83,41.656524670000003,-91.585224780000004
4001,4001,83,41.657293359999997,-91.581907930000000
4397,4397,83,41.654878449999998,-91.585273099999995
4126,4126,83,41.656615150000000,-91.590712510000003
4264,4264,83,41.655701559999997,-91.585248940000000
4002,4002,83,41.657275200000001,-91.580810380000003
4133,4133,83,41.656488400000001,-91.583029679999996
4136,4136,83,41.656433929999999,-91.579737050000006
4125,4125,83,41.656633210000003,-91.591810060000000
4127,4127,83,41.656597069999997,-91.589614960000006
5660,5660,83,41.646629220000001,-91.584417320000000
4000,4000,83,41.657311510000000,-91.583005490000005
4003,4003,83,41.657257029999997,-91.579712819999997
4141,4141,83,41.656342930000001,-91.574249350000002
2829,2829,83,41.664078029999999,-91.544369200000006
5659,5659,83,41.646647350000002,-91.585514700000004
4128,4128,83,41.656578990000000,-91.588517420000002
4130,4130,83,41.656542780000002,-91.586322319999994
3740,3740,83,41.658812240000003,-91.574176440000002
3737,3737,82,41.658866879999998,-91.577469179999994
4129,4129,82,41.656560890000002,-91.587419870000005
3472,3472,82,41.660458450000000,-91.574127820000001
3606,3606,82,41.659635350000002,-91.574152130000002
4008,4008,82,41.657166029999999,-91.574225040000002
4669,4669,82,41.653050499999999,-91.574346550000001
3738,3738,82,41.658848679999998,-91.576371600000002
3739,3739,82,41.658830459999997,-91.575274019999995
4007,4007,82,41.657184250000000,-91.575322600000007
4009,4009,82,41.657147799999997,-91.573127490000005
3874,3874,82,41.657989139999998,-91.574200739999995
4004,4004,82,41.657238849999999,-91.578615260000007
4137,4137,82,41.656415750000001,-91.578639510000002
4263,4263,82,41.655719670000003,-91.586346469999995
3999,3999,82,41.657329650000001,-91.584103049999996
4010,4010,82,41.657129560000001,-91.572029939999993
3871,3871,82,41.658043769999999,-91.577493439999998
