OID_,POINTID,GRID_CODE
2466,2466,49
3632,3632,49
2836,2836,49
4800,4800,49
5183,5183,49
4573,4573,49
989,989,49
3841,3841,49
5309,5309,49
5545,5545,49
3628,3628,49
3771,3771,49
6000,6000,49
7525,7525,49
5300,5300,49
4371,4371,49
2337,2337,49
2383,2383,49
2766,2766,49
5883,5883,49
5884,5884,49
7451,7451,49
2639,2639,49
2769,2769,49
4131,4131,49
7455,7455,49
2223,2223,49
4162,4162,49
1980,1980,49
4928,4928,49
2222,2222,48
5005,5005,48
1053,1053,48
4801,4801,48
4878,4878,48
5090,5090,48
3772,3772,48
4105,4105,48
4108,4108,48
3868,3868,48
4875,4875,48
7447,7447,48
7660,7660,48
5259,5259,48
3239,3239,48
2558,2558,48
2680,2680,48
2507,2507,48
2765,2765,48
2894,2894,48
2896,2896,48
3569,3569,48
3694,3694,48
3696,3696,48
3964,3964,48
2342,2342,48
3962,3962,48
2221,2221,48
4238,4238,48
2259,2259,48
2261,2261,48
2903,2903,48
2508,2508,47
2891,2891,47
90,90,47
7202,7202,47
2631,2631,47
4503,4503,47
3757,3757,47
2343,2343,47
2095,2095,47
2589,2589,46
3766,3766,46
3362,3362,46
7592,7592,46
5175,5175,46
2341,2341,46
4003,4003,46
4031,4031,46
3892,3892,46
4572,4572,46
2928,2928,46
2710,2710,46
5546,5546,46
2384,2384,46
6962,6962,46
922,922,46
4669,4669,46
3062,3062,46
7522,7522,46
3998,3998,46
7529,7529,46
6795,6795,46
2704,2704,46
3354,3354,45
2767,2767,45
3902,3902,45
2516,2516,45
4264,4264,45
1193,1193,45
6111,6111,45
1430,1430,45
2588,2588,45
186,186,45
7109,7109,45
3488,3488,45
2694,2694,45
5050,5050,45
3572,3572,45
3023,3023,45
3732,3732,45
3770,3770,45
2465,2465,45
3030,3030,45
3034,3034,45
4794,4794,45
2819,2819,45
7289,7289,45
3536,3536,45
4160,4160,45
3240,3240,45
5129,5129,45
7140,7140,45
5174,5174,45
4702,4702,45
4962,4962,45
2825,2825,44
3302,3302,44
3707,3707,44
2897,2897,44
4441,4441,44
5011,5011,44
3168,3168,44
3436,3436,44
4374,4374,44
7591,7591,44
4370,4370,44
2265,2265,44
5769,5769,44
1981,1981,44
2741,2741,44
3019,3019,44
4837,4837,44
2264,2264,44
7047,7047,44
5664,5664,44
3086,3086,44
2585,2585,44
1267,1267,44
2641,2641,44
2760,2760,44
3701,3701,44
3832,3832,44
4399,4399,44
2970,2970,44
5056,5056,44
5256,5256,44
5260,5260,44
6949,6949,44
1057,1057,44
1126,1126,44
1199,1199,44
1273,1273,44
1345,1345,44
1351,1351,44
1433,1433,44
5182,5182,44
2632,2632,44
4924,4924,44
2509,2509,44
5304,5304,44
2217,2217,44
4832,4832,44
6797,6797,44
6001,6001,44
6114,6114,44
2385,2385,44
5136,5136,44
4135,4135,44
3975,3975,44
7452,7452,44
5310,5310,44
2823,2823,44
2887,2887,44
7598,7598,44
5055,5055,44
4237,4237,44
3018,3018,44
4104,4104,44
5382,5382,44
2892,2892,44
3641,3641,43
3495,3495,43
2693,2693,43
6873,6873,43
2898,2898,43
987,987,43
6796,6796,43
2506,2506,43
3827,3827,43
4502,4502,43
2378,2378,43
4267,4267,43
5181,5181,43
7141,7141,43
3734,3734,43
4265,4265,43
3166,3166,43
6115,6115,43
4745,4745,43
185,185,43
4802,4802,43
2679,2679,43
3537,3537,43
3631,3631,43
4136,4136,43
3031,3031,43
3363,3363,43
3900,3900,43
4353,4353,43
3266,3266,43
988,988,43
2630,2630,43
3028,3028,43
2971,2971,43
5766,5766,43
4485,4485,43
2224,2224,43
3032,3032,43
119,119,43
2627,2627,43
3037,3037,43
3773,3773,43
3135,3135,43
5272,5272,43
5427,5427,43
4793,4793,42
3599,3599,42
4440,4440,42
7139,7139,42
3598,3598,42
5299,5299,42
5432,5432,42
5665,5665,42
3165,3165,42
2557,2557,42
3163,3163,42
3153,3153,42
2804,2804,42
3164,3164,42
4442,4442,42
7142,7142,42
6948,6948,42
4636,4636,42
4163,4163,42
2885,2885,42
4400,4400,42
4033,4033,42
3774,3774,42
7590,7590,42
2642,2642,42
4398,4398,42
2638,2638,42
4130,4130,42
5663,5663,42
7456,7456,42
3765,3765,42
2581,2581,42
3538,3538,42
5089,5089,42
5997,5997,42
2822,2822,42
5885,5885,42
990,990,42
4930,4930,42
7450,7450,42
4571,4571,41
2803,2803,41
3869,3869,41
5004,5004,41
2097,2097,41
5547,5547,41
4670,4670,41
3897,3897,41
2927,2927,41
4879,4879,41
2517,2517,41
7378,7378,41
2096,2096,41
2262,2262,41
7521,7521,41
7110,7110,41
7285,7285,41
7377,7377,41
2868,2868,41
2884,2884,41
2866,2866,41
2893,2893,41
3697,3697,41
3965,3965,41
4486,4486,41
3568,3568,41
5995,5995,41
3152,3152,41
5770,5770,41
7710,7710,41
4929,4929,41
3905,3905,41
2436,2436,41
5384,5384,41
3400,3400,41
6958,6958,41
2633,2633,41
2837,2837,41
4369,4369,41
1982,1982,41
4795,4795,41
2700,2700,40
5305,5305,40
2092,2092,40
2510,2510,40
2692,2692,40
2386,2386,40
4103,4103,40
5059,5059,40
7108,7108,40
4236,4236,40
4746,4746,40
2702,2702,40
3864,3864,40
184,184,40
2502,2502,40
7370,7370,40
7709,7709,40
3508,3508,40
3015,3015,40
3022,3022,40
2435,2435,40
2806,2806,40
4026,4026,40
3025,3025,40
5765,5765,40
2098,2098,40
6947,6947,40
3167,3167,40
5261,5261,40
4505,4505,40
4268,4268,40
5544,5544,40
5423,5423,40
2197,2197,40
2883,2883,40
5147,5147,40
1881,1881,40
3301,3301,40
3573,3573,40
3731,3731,40
6113,6113,40
3033,3033,40
7199,7199,40
151,151,40
2626,2626,40
2628,2628,40
2711,2711,40
3901,3901,40
4635,4635,40
2818,2818,40
3622,3622,40
4004,4004,40
2937,2937,40
4269,4269,40
3401,3401,39
2582,2582,39
986,986,39
4401,4401,39
4538,4538,39
3497,3497,39
7036,7036,39
3061,3061,39
3016,3016,39
5662,5662,39
5666,5666,39
2515,2515,39
2759,2759,39
4263,4263,39
4397,4397,39
3107,3107,39
7589,7589,39
6116,6116,39
6950,6950,39
5148,5148,39
219,219,39
