OID_,POINTID,GRID_CODE
2824,2824,51
2555,2555,51
2676,2676,51
7153,7153,51
3627,3627,51
3628,3628,51
7411,7411,51
2700,2700,51
3358,3358,51
6812,6812,51
2554,2554,51
7244,7244,51
6890,6890,51
3090,3090,51
7485,7485,51
6813,6813,51
7330,7330,51
6975,6975,51
3632,3632,51
3900,3900,51
6891,6891,51
3901,3901,51
5392,5392,51
7063,7063,51
7412,7412,51
5393,5393,51
7627,7627,51
7154,7154,51
7486,7486,51
7560,7560,51
6893,6893,51
7245,7245,51
6892,6892,51
3492,3492,51
5394,5394,51
6981,6981,51
5016,5016,51
5267,5267,51
5268,5268,51
6976,6976,51
6982,6982,51
7331,7331,51
5141,5141,51
7071,7071,51
5017,5017,51
5142,5142,51
5143,5143,51
5269,5269,51
6980,6980,51
7069,7069,51
7070,7070,51
7072,7072,51
7162,7162,51
7628,7628,51
7161,7161,50
7163,7163,50
5015,5015,50
5144,5144,50
5270,5270,50
6979,6979,50
7068,7068,50
7160,7160,50
7251,7251,50
7252,7252,50
7253,7253,50
7338,7338,50
7629,7629,50
5018,5018,50
5140,5140,50
6977,6977,50
6978,6978,50
7159,7159,50
7246,7246,50
7250,7250,50
7254,7254,50
7337,7337,50
7339,7339,50
7419,7419,50
7420,7420,50
7493,7493,50
7494,7494,50
7561,7561,50
7562,7562,50
7064,7064,50
7336,7336,50
7340,7340,50
7413,7413,50
7418,7418,50
7421,7421,50
7495,7495,50
3635,3635,50
7067,7067,50
7155,7155,50
7158,7158,50
7249,7249,50
7335,7335,50
7492,7492,50
4948,4948,50
7247,7247,50
7248,7248,50
7332,7332,50
7487,7487,50
7066,7066,50
7334,7334,50
7417,7417,50
7491,7491,50
7065,7065,50
7157,7157,50
7333,7333,50
7156,7156,50
5753,5753,50
7416,7416,50
7490,7490,50
5515,5515,50
5516,5516,50
5517,5517,50
5635,5635,50
5636,5636,50
5637,5637,50
5754,5754,50
7414,7414,50
7415,7415,50
7488,7488,50
5755,5755,50
6894,6894,50
7489,7489,50
6895,6895,50
6896,6896,50
6983,6983,50
7073,7073,50
7563,7563,50
7683,7683,50
7731,7731,50
7777,7777,50
6897,6897,50
6898,6898,50
6984,6984,50
6985,6985,50
7074,7074,50
7164,7164,50
7255,7255,50
7422,7422,50
7496,7496,50
7564,7564,50
7630,7630,50
7631,7631,50
7684,7684,50
7685,7685,50
7732,7732,50
7733,7733,50
7778,7778,50
7779,7779,50
6899,6899,50
6900,6900,50
6986,6986,50
6987,6987,50
7075,7075,50
7076,7076,50
7077,7077,50
7165,7165,50
7166,7166,50
7256,7256,50
7341,7341,50
7423,7423,50
7497,7497,50
7565,7565,50
7632,7632,50
7686,7686,50
7734,7734,50
7780,7780,50
7781,7781,50
2956,2956,50
6988,6988,50
7078,7078,50
7167,7167,50
7168,7168,50
7169,7169,50
7257,7257,50
7258,7258,50
7259,7259,50
7342,7342,50
7343,7343,50
7424,7424,50
7498,7498,50
7566,7566,50
7633,7633,50
7687,7687,50
7688,7688,50
7735,7735,50
7736,7736,50
7782,7782,50
2823,2823,50
7260,7260,50
7344,7344,50
7345,7345,50
7346,7346,50
7425,7425,50
7426,7426,50
7427,7427,50
7428,7428,50
7499,7499,50
7500,7500,50
7501,7501,50
7502,7502,50
7567,7567,50
7568,7568,50
7569,7569,50
7570,7570,50
7634,7634,50
3626,3626,50
2699,2699,50
2580,2580,50
3761,3761,50
4949,4949,49
4947,4947,49
1399,1399,49
3768,3768,49
1482,1482,49
3760,3760,49
3770,3770,49
1570,1570,49
1400,1400,49
1659,1659,49
1483,1483,49
1571,1571,49
1660,1660,49
1753,1753,49
3089,3089,49
4818,4818,49
1754,1754,49
2584,2584,49
1850,1850,49
2578,2578,49
2579,2579,49
1572,1572,49
1661,1661,49
1755,1755,49
2581,2581,49
2698,2698,49
3762,3762,49
1573,1573,49
1484,1484,49
2301,2301,49
1485,1485,49
1662,1662,49
2420,2420,49
2421,2421,49
3223,3223,49
1663,1663,49
1756,1756,49
1853,1853,49
2182,2182,49
2300,2300,49
2302,2302,49
2422,2422,49
2822,2822,49
1574,1574,49
1757,1757,49
1852,1852,49
1951,1951,49
1952,1952,49
2062,2062,49
2181,2181,49
2184,2184,49
2299,2299,49
2303,2303,49
2423,2423,49
1486,1486,49
1575,1575,49
1758,1758,49
1851,1851,49
1854,1854,49
1950,1950,49
2059,2059,49
2060,2060,49
2061,2061,49
2183,2183,49
2419,2419,49
1855,1855,49
1953,1953,49
1959,1959,49
2185,2185,49
3630,3630,49
1759,1759,49
1949,1949,49
1954,1954,49
2063,2063,49
2543,2543,49
2545,2545,49
1856,1856,49
1955,1955,49
2064,2064,49
2544,2544,49
2955,2955,49
2065,2065,49
2186,2186,49
2304,2304,49
2424,2424,49
1956,1956,49
2071,2071,49
2187,2187,49
2546,2546,49
3759,3759,49
3894,3894,49
1857,1857,48
2066,2066,48
2188,2188,48
2305,2305,48
1760,1760,48
1958,1958,48
2067,2067,48
2306,2306,48
2425,2425,48
2070,2070,48
2189,2189,48
3629,3629,48
3895,3895,48
1401,1401,48
2069,2069,48
2307,2307,48
2426,2426,48
3625,3625,48
1957,1957,48
2068,2068,48
2541,2541,48
2542,2542,48
3765,3765,48
2547,2547,48
2190,2190,48
2192,2192,48
2193,2193,48
2548,2548,48
2697,2697,48
3893,3893,48
2194,2194,48
2195,2195,48
2427,2427,48
2308,2308,48
2931,2931,48
2457,2457,48
2927,2927,48
2930,2930,48
2933,2933,48
3064,3064,48
3068,3068,48
3203,3203,48
3868,3868,48
2925,2925,48
2926,2926,48
2928,2928,48
2929,2929,48
2932,2932,48
2934,2934,48
3062,3062,48
3063,3063,48
3069,3069,48
3337,3337,48
3734,3734,48
3867,3867,48
3869,3869,48
2191,2191,48
2310,2310,48
3197,3197,48
3199,3199,48
3202,3202,48
3204,3204,48
3331,3331,48
3333,3333,48
3334,3334,48
3338,3338,48
3467,3467,48
3468,3468,48
3600,3600,48
3601,3601,48
3733,3733,48
3735,3735,48
3902,3902,48
2550,2550,48
2668,2668,48
2669,2669,48
2670,2670,48
2672,2672,48
2796,2796,48
3066,3066,48
3067,3067,48
3196,3196,48
3198,3198,48
3200,3200,48
3330,3330,48
3332,3332,48
3335,3335,48
3336,3336,48
3466,3466,48
3469,3469,48
3470,3470,48
3598,3598,48
3599,3599,48
3602,3602,48
3603,3603,48
3736,3736,48
3737,3737,48
3866,3866,48
3870,3870,48
4692,4692,48
4950,4950,48
2428,2428,48
2549,2549,48
2667,2667,48
2673,2673,48
2795,2795,48
2797,2797,48
2935,2935,48
3065,3065,48
3195,3195,48
3201,3201,48
3464,3464,48
3465,3465,48
3471,3471,48
3604,3604,48
3605,3605,48
3732,3732,48
3738,3738,48
3739,3739,48
3740,3740,48
3871,3871,48
3872,3872,48
3873,3873,48
2309,2309,48
2311,2311,48
2429,2429,48
2551,2551,48
2665,2665,48
2671,2671,48
2798,2798,48
2799,2799,48
3060,3060,48
3061,3061,48
3070,3070,48
3329,3329,48
3463,3463,48
3472,3472,48
3597,3597,48
3606,3606,48
3731,3731,48
3865,3865,48
3874,3874,48
3999,3999,48
2312,2312,48
2666,2666,48
2793,2793,48
2800,2800,48
2936,2936,48
3059,3059,48
3328,3328,48
3462,3462,48
3357,3357,48
3896,3896,48
4691,4691,48
2430,2430,48
2664,2664,48
2674,2674,48
2792,2792,48
2794,2794,48
3327,3327,48
3596,3596,48
3730,3730,48
2791,2791,48
3193,3193,48
3194,3194,48
3460,3460,48
3461,3461,48
3595,3595,48
3864,3864,48
3491,3491,48
2552,2552,48
2790,2790,48
2801,2801,48
3058,3058,48
3192,3192,48
3326,3326,48
3594,3594,48
3729,3729,48
4036,4036,48
2663,2663,48
3057,3057,48
3728,3728,48
3998,3998,48
3863,3863,48
3862,3862,48
2431,2431,48
2675,2675,48
2789,2789,48
2461,2461,48
3997,3997,48
3088,3088,48
3758,3758,48
3996,3996,48
4034,4034,48
2923,2923,48
2432,2432,48
2553,2553,48
2924,2924,48
4035,4035,48
2821,2821,48
3898,3898,48
2456,2456,48
3897,3897,48
2954,2954,48
4953,4953,48
2696,2696,48
4822,4822,48
2333,2333,47
3899,3899,47
2319,2319,47
4690,4690,47
2577,2577,47
2458,2458,47
2583,2583,47
2334,2334,47
3624,3624,47
4951,4951,47
3087,3087,47
3218,3218,47
4952,4952,47
2214,2214,47
2332,2332,47
3222,3222,47
4821,4821,47
2215,2215,47
3219,3219,47
3353,3353,47
5696,5696,47
2820,2820,47
2336,2336,47
2575,2575,47
3084,3084,47
2213,2213,47
2953,2953,47
2442,2442,47
3086,3086,47
3220,3220,47
3623,3623,47
2335,2335,47
2582,2582,47
2441,2441,47
2574,2574,47
3085,3085,47
5453,5453,47
2089,2089,47
2090,2090,47
2687,2687,47
2947,2947,47
3082,3082,47
2566,2566,47
2813,2813,47
2318,2318,47
2688,2688,47
2690,2690,47
2814,2814,47
2948,2948,47
2950,2950,47
3083,3083,47
2576,2576,47
3221,3221,47
2443,2443,47
2695,2695,47
2819,2819,47
3488,3488,47
5452,5452,47
2816,2816,47
2949,2949,47
5000,5000,47
2567,2567,46
2689,2689,46
2815,2815,46
1976,1976,46
2212,2212,46
2569,2569,46
2446,2446,46
1777,1777,46
1977,1977,46
2691,2691,46
3354,3354,46
3764,3764,46
1877,1877,46
2440,2440,46
2564,2564,46
3763,3763,46
5571,5571,46
1872,1872,46
2211,2211,46
2451,2451,46
2563,2563,46
2692,2692,46
5688,5688,46
2209,2209,46
2210,2210,46
2952,2952,46
1873,1873,46
2331,2331,46
2951,2951,46
5451,5451,46
1971,1971,46
2084,2084,46
2565,2565,46
5074,5074,46
1876,1876,46
2085,2085,46
2088,2088,46
2570,2570,46
2562,2562,46
1871,1871,46
2328,2328,46
2329,2329,46
2817,2817,46
2818,2818,46
1972,1972,46
2447,2447,46
2452,2452,46
2453,2453,46
2685,2685,46
2686,2686,46
2693,2693,46
2323,2323,46
2684,2684,46
2439,2439,46
2455,2455,46
2460,2460,46
767,767,46
1975,1975,46
2208,2208,46
2561,2561,46
5450,5450,46
1874,1874,46
2317,2317,46
2812,2812,46
2694,2694,46
5570,5570,46
1870,1870,46
1875,1875,46
1970,1970,46
2573,2573,46
5697,5697,46
2221,2221,46
3490,3490,46
2083,2083,46
2330,2330,46
2450,2450,46
2438,2438,46
5075,5075,46
6039,6039,46
2086,2086,46
2205,2205,46
2437,2437,46
4999,4999,46
2448,2448,46
2571,2571,46
2316,2316,46
2324,2324,46
2327,2327,46
3356,3356,46
3489,3489,46
2207,2207,46
6040,6040,46
6155,6155,46
1973,1973,46
2087,2087,46
5456,5456,46
5814,5814,46
6156,6156,46
2206,2206,45
2449,2449,45
5455,5455,45
2459,2459,45
5454,5454,45
1969,1969,45
3355,3355,45
1968,1968,45
1974,1974,45
2325,2325,45
2326,2326,45
4793,4793,45
4662,4662,45
2082,2082,45
2081,2081,45
2454,2454,45
2572,2572,45
5200,5200,45
5331,5331,45
5201,5201,45
4663,4663,45
4794,4794,45
5330,5330,45
5332,5332,45
5076,5076,45
5815,5815,45
5329,5329,45
5578,5578,45
5202,5202,45
5206,5206,45
5205,5205,45
5328,5328,45
966,966,45
5695,5695,45
5207,5207,45
5804,5804,45
5203,5203,45
632,632,45
5082,5082,45
5204,5204,45
5327,5327,45
4924,4924,45
5326,5326,45
5687,5687,45
4792,4792,45
5080,5080,45
5081,5081,45
5333,5333,45
4661,4661,45
4531,4531,45
4925,4925,45
5079,5079,45
5077,5077,45
5208,5208,45
5325,5325,45
6251,6251,45
4532,4532,44
5449,5449,44
5569,5569,44
5813,5813,44
6157,6157,44
4795,4795,44
5686,5686,44
6250,6250,44
4664,4664,44
5078,5078,44
6041,6041,44
6154,6154,44
4923,4923,44
5579,5579,44
6038,6038,44
2320,2320,44
4926,4926,44
5924,5924,44
3904,3904,44
4530,4530,44
5448,5448,44
5568,5568,44
5050,5050,44
5923,5923,44
4533,4533,44
5930,5930,44
5051,5051,44
4400,4400,44
4401,4401,44
5049,5049,44
6252,6252,44
5052,5052,44
4791,4791,44
2198,2198,44
5931,5931,44
4660,4660,44
5176,5176,44
5177,5177,44
4402,4402,44
4922,4922,44
3903,3903,44
4399,4399,44
